item_name,text,type,answers,values,score: stai_total,optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best.
</span></span>",instruct,,,,,,
stai_1,I feel calm,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_2,I feel secure,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_3,I feel tense,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_4,I feel strained,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_5,I feel at ease,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_6,I feel upset,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_7,I am presently worrying over possibly misfortunes,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_8,I feel satisfied,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_9,I feel frightened,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_10,I feel uncomfortable,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_11,I feel self-confident,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_12,I feel nervous,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_13,I feel jittery,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_14,I feel indecisive,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_15,I am relaxed,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_16,I feel content,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_17,I am worried,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_18,I feel confused,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_19,I feel steady,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_20,I feel pleasant,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
,,,,,,,,